source_file,source_row,comment,package,designator,quantity,lcsc
BOM_PASTER_8984112A_Y182.xls,2,0201-47K-1%,RC0201FR-0747KL,"R15,R18",2,C138139
BOM_PASTER_8984112A_Y182.xls,3,0201-100pF-50V-5%,0201-100pF-50V-5%,"C3,C4,C5,C9,C10,C11,C24,C35,C36,C37,C39,C40,C42,C43,C44,C45",16,C730413
BOM_PASTER_8984112A_Y182.xls,4,0201-4.7K-1%,RC0201FR-074K7L,"R20,R48",2,C138135
BOM_PASTER_8984112A_Y182.xls,5,1206-2.2nF-630V-5%,CC1206JKNPOZBN222,"C14,C18",2,C596322
BOM_PASTER_8984112A_Y182.xls,6,0402-100K-1%,RC0402FR-07100KL,"R14,R19",2,C60491
BOM_PASTER_8984112A_Y182.xls,7,XL-1005UBC,0402,LED4,1,C22355736
BOM_PASTER_8984112A_Y182.xls,8,0603-100nF-100V-10%,0603-100nF-100V-10%,"C7,C15,C23",3,C15725
BOM_PASTER_8984112A_Y182.xls,9,9980000556404,电机驱动芯片,U1,1,C47023655
BOM_PASTER_8984112A_Y182.xls,10,10,烧录口,J3,1,C2937625
BOM_PASTER_8984112A_Y182.xls,11,9990000052803,贴片晶振,Y1,1,C1851993
BOM_PASTER_8984112A_Y182.xls,12,91,LED,LED2,1,C25503856
BOM_PASTER_8984112A_Y182.xls,13,0201-6.8K-1%,RC0201FR-076K8L,"R13,R47",2,C274877
BOM_PASTER_8984112A_Y182.xls,14,9990000051457,贴片电阻,"R43,R57",2,C106231
BOM_PASTER_8984112A_Y182.xls,15,9990000056678,MCU,U6,1,C54318468
BOM_PASTER_8984112A_Y182.xls,16,1210-10uF-100V-10%,1210-10uF-100V-10%,"C8,C16,C17,C22",4,C5156756
BOM_PASTER_8984112A_Y182.xls,17,9990000053188,贴片TVS管,D4,1,C19077592
BOM_PASTER_8984112A_Y182.xls,18,9990000051470,LDO,U3,1,C408972
BOM_PASTER_8984112A_Y182.xls,19,9990000051495,插头,"J1,J2",2,C428721
BOM_PASTER_8984112A_Y182.xls,20,0603-4.7uF-10V-10%,0603-4.7uF-10V-10%,C51,1,C1705
BOM_PASTER_8984112A_Y182.xls,21,0201-10pF-50V-10%,0201-10pF-50V-10%,"C29,C32",2,C561710
BOM_PASTER_8984112A_Y182.xls,22,0201-26.1K-0.5%,RC0201DR-0726K1L,R16,1,C851693
BOM_PASTER_8984112A_Y182.xls,23,9980000556405,电源模块,U2,1,C9900232088
BOM_PASTER_8984112A_Y182.xls,24,12,6PIN烧录孔,J8,1,C492420
BOM_PASTER_8984112A_Y182.xls,25,TS-1088-AR02016,SMD,K2,1,C720477
BOM_PASTER_8984112A_Y182.xls,26,TS-1088-AR02016,SMD,K1,1,C720477
BOM_PASTER_8984112A_Y182.xls,27,TS-1088-AR02016,SMD,K3,1,C720477
BOM_PASTER_8984112A_Y182.xls,28,0603-2.2nF-100V-10%,0603-2.2nF-100V-10%,"C61,C62,C63",3,C382253
BOM_PASTER_8984112A_Y182.xls,29,9990000055668,贴片电阻,"R52,R53,R54,R55,R56",5,C100044
BOM_PASTER_8984112A_Y182.xls,30,0201-10K-1%,RC0201FR-0710KL,"R2,R32,R33,R39,R49,R50,R51",7,C106225
BOM_PASTER_8984112A_Y182.xls,31,0201-10Ω-1%,RC0201FR-0710RL,"R21,R22",2,C106226
BOM_PASTER_8984112A_Y182.xls,32,0201-0Ω-1%,RC0201FR-070RL,R8,1,C106227
BOM_PASTER_8984112A_Y182.xls,33,9980000554040,贴片二极管,"D1,D2,D3",3,C78879
BOM_PASTER_8984112A_Y182.xls,34,0201-100R-1%,RC0201FR-07100RL,"R9,R10,R11,R23,R24,R25,R26,R27,R28,R29,R30,R31,R34,R38,R40,R42",16,C77623
BOM_PASTER_8984112A_Y182.xls,35,0402-4.7K-1%,RC0402FR-074K7L,"R37,R41,R45",3,C105871
BOM_PASTER_8984112A_Y182.xls,36,暂无料号10,RS485收发器,U5,1,C20198121
BOM_PASTER_8984112A_Y182.xls,37,0402-100nF-50V-10%,0402-100nF-50V-10%,C19,1,C525226
BOM_PASTER_8984112A_Y182.xls,38,58,接插件,"J4,J5,J6,J7",4,C161690
BOM_PASTER_8984112A_Y182.xls,39,XL-1005UGC,XL-1005UGC,"LED1,LED3",2,C965793
BOM_PASTER_8984112A_Y182.xls,40,9980000531173,NMOS管,MOS1,1,C17701055
BOM_PASTER_8984112A_Y182.xls,41,0201-76.8K-1%,RC0201FR-0776K8L,R17,1,C474825
BOM_PASTER_8984112A_Y182.xls,42,0402-10nF-50V-10%,CC0402KRX7R0BB103,C52,1,C527014
BOM_PASTER_8984112A_Y182.xls,43,0603-10uF-6.3V-20%,0603-10uF-6.3V-20%,C20,1,C3039698
BOM_PASTER_8984112A_Y182.xls,44,0201-1K-1%,RC0201FR-071KL,"R35,R36",2,C138165
BOM_PASTER_8984112A_Y182.xls,45,0402-22K-1%,RC0402FR-0722KL,"R1,R3,R4",3,C82868
BOM_PASTER_8984112A_Y182.xls,46,0402-1K-1%,RC0402FR-071KL,"R5,R6,R7",3,C106235
BOM_PASTER_8984112A_Y182.xls,47,9990000051498,接插件,J10,1,C160407
BOM_PASTER_8984112A_Y182.xls,48,9990000051497,接插件,J9,1,C54334395
BOM_PASTER_8984112A_Y182.xls,49,9990000051491,EEPROM,U7,1,C894119
BOM_PASTER_8984112A_Y182.xls,50,9990000051493,贴片磁珠,L4,1,C76884
BOM_PASTER_8984112A_Y182.xls,51,9980000554037,贴片ESD管,"D6,D7",2,C15771
BOM_PASTER_8984112A_Y182.xls,52,GPCA101-0502A,插件,J11,1,C5138889
BOM_PASTER_8984112A_Y182.xls,53,0402-1uF-10V-10%,0402-1uF-10V-10%,"C2,C25,C28,C53",4,C2803380
BOM_PASTER_8984112A_Y182.xls,54,9990000056296,贴片ESD管,"D8,D9,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19",12,C110696
BOM_PASTER_8984112A_Y182.xls,55,9990000053395,稳压二极管,D5,1,C5224095
BOM_PASTER_8984112A_Y182.xls,56,9990000051466,CAN收发器,U4,1,C30111221
BOM_PASTER_8984112A_Y182.xls,57,0402-10K-1%,0402-10K-1%,R12,1,C77131
BOM_PASTER_8984112A_Y182.xls,58,0201-100nF-16V-10%,0201-100nF-16V-10%,"C1,C6,C12,C13,C21,C26,C27,C30,C31,C33,C34,C38,C46,C47,C48,C49,C50,C54,C55,C58,C59,C60",22,C668346
